,run_name,experiment_name,manual_seed,num_active_units,gaussian_total_correlation,gaussian_wasserstein_correlation,gaussian_wasserstein_correlation_norm,avg_test_loss,rf_acc_color_group,rf_auc_color_group,rf_aupr_color_group,rf_avg_pr_color_group,knn_acc_color_group,rf_acc_product_group,rf_auc_product_group,rf_aupr_product_group,rf_avg_pr_product_group,knn_acc_product_group,rf_acc_product_type,rf_auc_product_type,rf_aupr_product_type,rf_avg_pr_product_type,knn_acc_product_type,rf_acc_gender,rf_auc_gender,rf_aupr_gender,rf_avg_pr_gender,knn_acc_gender,rf_acc_age_group,rf_auc_age_group,rf_aupr_age_group,rf_avg_pr_age_group,knn_acc_age_group,dst_rf_acc,dst_rf_auc,dst_rf_aupr,dst_rf_avg_pr
0,cat_vae,shoes,1265,9,0.03501583359380585,0.03510234053869965,0.003504307140707843,0.033158430816149824,0.24782,0.8116763075174422,0.42487,0.42374,0.39273,0.79617,0.0,0.89061,0.0,0.98274,0.37807,0.9083253104333312,0.82503,0.82754,0.82491,0.54242,0.7273406695231406,0.62015,0.62181,0.54439,0.42877,0.7251365549560056,0.73115,0.7307,0.73058,0.0,0.0,0.0,0.0
1,vanilla_vae,shoes,1265,9,0.025440713819125466,0.024425026267792305,0.0025185634827140486,0.03170650242274882,0.23438,0.8104183975823495,0.43104,0.42879,0.38409,0.78868,0.0,0.89146,0.0,0.98397,0.38229,0.907024482783434,0.82032,0.82325,0.82799,0.54033,0.735991823606031,0.62374,0.62564,0.53822,0.42769,0.7391615933206894,0.73807,0.73871,0.74106,0.0,0.0,0.0,0.0
2,beta_vae,shoes,1265,10,0.07452809150667417,0.043771163627509324,0.005991691205312961,0.03217624101052888,0.28129,0.8158709593708269,0.42886,0.4269,0.36745,0.73222,0.0,0.89583,0.0,0.96979,0.33215,0.9077663062364584,0.81435,0.81589,0.7725,0.52247,0.7186790032430134,0.60995,0.61151,0.48212,0.3791,0.6877136755836959,0.69865,0.69905,0.70345,0.0,0.0,0.0,0.0
